id,location,name,type
55cba2476c522cafdb053b4f,"[40.6199526, -73.9896898]","J&V Famous Pizza","Point"
55cba2476c522cafdb053b50,"[40.7494272, -73.8850023]","Jahn'S Restaurant","Point"
55cba2476c522cafdb053b51,"[40.7660886, -73.9799932]","La Parisienne Diner","Point"
55cba2476c522cafdb053b52,"[40.760039, -73.989131]","Joe Allen Restaurant","Point"
55cba2476c522cafdb053b53,"[40.5450793, -74.16536339999999]","Joyce'S Tavern","Point"
55cba2476c522cafdb053b54,"[40.7274874, -74.0003315]","Arturo'S","Point"
55cba2476c522cafdb053b55,"[40.760337, -73.988948]","Barbetta Restaurant","Point"
55cba2476c522cafdb053b56,"[40.576366, -73.982241]","Gargiulo'S Restaurant","Point"
55cba2476c522cafdb053b57,"[40.7619226, -73.96117869999999]","Il Vagabondo Restaurant","Point"
55cba2476c522cafdb053b58,"[40.743841, -73.856132]","Parkside Restaurant","Point"
55cba2476c522cafdb053b59,"[40.7569379, -73.91427200000001]","Lavelle'S Admiral'S Club","Point"
55cba2476c522cafdb053b5a,"[40.758273, -73.963506]","Neary'S Pub","Point"
55cba2476c522cafdb053b5b,"[40.8724377, -73.87786539999999]","Mcdwyers Pub","Point"
55cba2476c522cafdb053b5c,"[40.715051, -73.9983]","Mee Sum Coffee Shop","Point"
55cba2476c522cafdb053b5d,"[40.7276012, -73.70902579999999]","Nancy'S Fire Side","Point"
55cba2476c522cafdb053b5e,"[40.7143954, -73.9990337]","Hop Kee Restaurant","Point"
55cba2476c522cafdb053b5f,"[40.720699, -74.0049219]","Nancy Whiskey Pub","Point"
55cba2476c522cafdb053b60,"[40.702028, -73.808593]","Blarney Bar","Point"
55cba2476c522cafdb053b61,"[40.7118632, -73.78999089999999]","Margherita Pizza","Point"
55cba2476c522cafdb053b62,"[40.5812137, -73.8299395]","Healy'S Pub","Point"
55cba2476c522cafdb053b63,"[40.67017250000001, -73.98586209999999]","Fifth Avenue Bingo","Point"
55cba2476c522cafdb053b64,"[40.6301893, -74.1402105]","Denino'S Pizzeria Tavern","Point"
55cba2476c522cafdb053b65,"[40.6076256, -73.942849]","Michael'S Restaurant","Point"
55cba2476c522cafdb053b66,"[40.750205, -73.99532099999999]","New York Pizza Suprema","Point"
55cba2476c522cafdb053b67,"[40.7535755, -73.9736776]","Nanni Restaurant","Point"
55cba2476c522cafdb053b68,"[40.6944628, -73.82770529999999]","Lenihan'S Saloon","Point"
55cba2476c522cafdb053b69,"[40.745683, -73.8682701]","Emilio Iii Bar","Point"
55cba2476c522cafdb053b6a,"[40.7052024, -74.0086833]","Killarney Rose","Point"
55cba2476c522cafdb053b6b,"[40.6689548, -73.8216767]","Don Peppe","Point"
55cba2476c522cafdb053b6c,"[40.5595462, -73.9250442]","Blarney Castle","Point"
55cba2476c522cafdb053b6d,"[40.599217, -73.955074]","Three Star Restaurant","Point"
