id_vecindario,polygonNumber,id_restaurante
55cb9c666c522cafdb053a78,0,55cba2476c522cafdb053afb
55cb9c666c522cafdb053a23,0,55cba2476c522cafdb053afc
55cb9c666c522cafdb053ace,0,55cba2476c522cafdb053afd
55cb9c666c522cafdb053a78,0,55cba2476c522cafdb053afe
55cb9c666c522cafdb053a37,0,55cba2476c522cafdb053aff
55cb9c666c522cafdb053a71,0,55cba2476c522cafdb053b00
55cb9c666c522cafdb053a88,0,55cba2476c522cafdb053b01
55cb9c666c522cafdb053a9d,2,55cba2476c522cafdb053b02
55cb9c666c522cafdb053a57,0,55cba2476c522cafdb053b03
55cb9c666c522cafdb053aaf,0,55cba2476c522cafdb053b04
55cb9c666c522cafdb053ab2,0,55cba2476c522cafdb053b05
55cb9c666c522cafdb053a97,1,55cba2476c522cafdb053b06
55cb9c666c522cafdb053a33,0,55cba2476c522cafdb053b07
55cb9c666c522cafdb053a96,0,55cba2476c522cafdb053b08
55cb9c666c522cafdb053a4d,1,55cba2476c522cafdb053b09
55cb9c666c522cafdb053a48,0,55cba2476c522cafdb053b0a
55cb9c666c522cafdb053a1f,0,55cba2476c522cafdb053b0b
55cb9c666c522cafdb053abd,0,55cba2476c522cafdb053b0c
55cb9c666c522cafdb053a1b,0,55cba2476c522cafdb053b0d
55cb9c666c522cafdb053a3c,0,55cba2476c522cafdb053b0e
55cb9c666c522cafdb053a6e,0,55cba2476c522cafdb053b10
55cb9c666c522cafdb053a6b,0,55cba2476c522cafdb053b11
55cb9c666c522cafdb053a74,7,55cba2476c522cafdb053b12
55cb9c666c522cafdb053a6e,0,55cba2476c522cafdb053b13
55cb9c666c522cafdb053a5d,0,55cba2476c522cafdb053b14
55cb9c666c522cafdb053a9d,2,55cba2476c522cafdb053b15
55cb9c666c522cafdb053ab8,0,55cba2476c522cafdb053b16
55cb9c666c522cafdb053a96,0,55cba2476c522cafdb053b17
55cb9c666c522cafdb053ac3,2,55cba2476c522cafdb053b18
55cb9c666c522cafdb053ab5,0,55cba2476c522cafdb053b19
55cb9c666c522cafdb053a33,0,55cba2476c522cafdb053b1a
55cb9c666c522cafdb053acc,0,55cba2476c522cafdb053b1b
55cb9c666c522cafdb053a60,0,55cba2476c522cafdb053b1c
55cb9c666c522cafdb053a33,0,55cba2476c522cafdb053b1d
55cb9c666c522cafdb053a4c,0,55cba2476c522cafdb053b1e
55cb9c666c522cafdb053a4e,0,55cba2476c522cafdb053b1f
55cb9c666c522cafdb053a88,0,55cba2476c522cafdb053b20
55cb9c666c522cafdb053a96,0,55cba2476c522cafdb053b21
55cb9c666c522cafdb053a4b,0,55cba2476c522cafdb053b22
55cb9c666c522cafdb053a95,0,55cba2476c522cafdb053b23
55cb9c666c522cafdb053a96,0,55cba2476c522cafdb053b24
55cb9c666c522cafdb053a33,0,55cba2476c522cafdb053b25
55cb9c666c522cafdb053acf,0,55cba2476c522cafdb053b26
55cb9c666c522cafdb053a71,0,55cba2476c522cafdb053b27
55cb9c666c522cafdb053ab5,0,55cba2476c522cafdb053b28
55cb9c666c522cafdb053a97,1,55cba2476c522cafdb053b29
55cb9c666c522cafdb053a83,0,55cba2476c522cafdb053b2a
55cb9c666c522cafdb053a98,4,55cba2476c522cafdb053b2b
55cb9c666c522cafdb053aa5,1,55cba2476c522cafdb053b2c
55cb9c666c522cafdb053ab4,0,55cba2476c522cafdb053b2d
55cb9c666c522cafdb053a50,0,55cba2476c522cafdb053b2e
55cb9c666c522cafdb053a70,0,55cba2476c522cafdb053b2f
55cb9c666c522cafdb053a7b,0,55cba2476c522cafdb053b30
55cb9c666c522cafdb053a4c,0,55cba2476c522cafdb053b31
55cb9c666c522cafdb053a38,0,55cba2476c522cafdb053b32
55cb9c666c522cafdb053a82,0,55cba2476c522cafdb053b33
55cb9c666c522cafdb053ab7,0,55cba2476c522cafdb053b34
55cb9c666c522cafdb053a4b,0,55cba2476c522cafdb053b35
55cb9c666c522cafdb053a4e,0,55cba2476c522cafdb053b36
55cb9c666c522cafdb053a9e,0,55cba2476c522cafdb053b37
